sku_ref_id,geographic_hub,weave_category,jacquard_capacity,zari_configuration,warp_denier,weft_denier,zari_wire_denier,warp_net_weight_g,weft_net_weight_g,zari_net_weight_g,bobbin_waste_weight_g,total_saree_weight_g,yarn_raw_cost_inr,zari_raw_cost_inr,labor_surcharge_inr,total_mfg_cost_inr,mrp_inr,selling_price_inr,min_floor_price_inr,weight_category_profile
SKU-0032,Bishnupur,Central Sheer Fabric,2400 Hooks,1Gram Gold Zari,19/21 D,23/25 D,55 Denier,39,53,454,25,571,454,6129,2781,9364,32774,22941,12641,Standard Mid-Weight Saree
SKU-0033,Bishnupur,Central Sheer Fabric,2400 Hooks,3G Gold Zari,19/21 D,23/25 D,65 Denier,39,53,195,25,571,454,2632,2781,5867,20534,14374,7920,Standard Mid-Weight Saree
SKU-0034,Bishnupur,Central Sheer Fabric,2400 Hooks,5G Gold Zari,19/21 D,23/25 D,70 Denier,39,53,1144,25,571,454,15444,2781,18679,65376,45763,25216,Standard Mid-Weight Saree
SKU-0035,Bishnupur,Central Sheer Fabric,2688 Hooks,1Gram Gold Zari,20/22 D,24/26 D,60 Denier,41,56,598,31,725,454,8073,3050,11577,40519,28363,15628,Heavy Bridal Brocade
SKU-0036,Bishnupur,Central Sheer Fabric,2688 Hooks,2G Gold Zari,20/22 D,24/26 D,65 Denier,41,56,394,31,725,454,5319,3050,8823,30880,21616,11911,Heavy Bridal Brocade
SKU-0037,Bishnupur,Central Sheer Fabric,2688 Hooks,3G Gold Zari,20/22 D,24/26 D,70 Denier,41,56,257,31,725,454,3469,3050,6973,24405,17083,9413,Heavy Bridal Brocade
SKU-0038,Bishnupur,Central Sheer Fabric,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,454,12109,3186,15749,55121,38585,21261,Ultra-Heavy Royal Heritage Pattu
SKU-0039,Bishnupur,Central Sheer Fabric,5400 Hooks,2G Gold Zari,22/24 D,28/30 D,70 Denier,45,64,592,45,1051,454,7992,3186,11632,40712,28498,15703,Ultra-Heavy Royal Heritage Pattu
SKU-0040,Bishnupur,Central Sheer Fabric,5400 Hooks,5G Gold Zari,22/24 D,28/30 D,45 Denier,45,64,2260,45,1051,454,30510,3186,34150,119525,83667,46102,Ultra-Heavy Royal Heritage Pattu
SKU-0041,Bishnupur,Central Sheer Fabric,640 Hooks,2G Gold Zari,16/18 D,20/22 D,45 Denier,33,47,79,9,209,454,1066,2727,4247,14864,10405,5733,Lightweight Dress Silk
SKU-0042,Bishnupur,East Handloom Ikat,1024 Hooks,1Gram Gold Zari,17/19 D,21/23 D,45 Denier,35,49,220,14,318,490,2970,2700,6160,21560,15092,8316,Lightweight Dress Silk
SKU-0043,Bishnupur,East Handloom Ikat,1024 Hooks,3G Gold Zari,17/19 D,21/23 D,55 Denier,35,49,94,14,318,490,1269,2700,4459,15606,10924,6019,Lightweight Dress Silk
SKU-0044,Bishnupur,East Handloom Ikat,1024 Hooks,5G Gold Zari,17/19 D,21/23 D,60 Denier,35,49,554,14,318,490,7479,2700,10669,37341,26139,14403,Lightweight Dress Silk
SKU-0045,Bishnupur,East Handloom Ikat,1534 Hooks,2G Gold Zari,18/20 D,22/24 D,55 Denier,37,51,228,20,454,490,3078,3104,6672,23352,16346,9007,Standard Mid-Weight Saree
SKU-0046,Bishnupur,East Handloom Ikat,2400 Hooks,2G Gold Zari,19/21 D,23/25 D,60 Denier,39,53,299,25,571,490,4036,2970,7496,26236,18365,10119,Standard Mid-Weight Saree
SKU-0047,Bishnupur,East Handloom Ikat,2400 Hooks,3G Gold Zari,19/21 D,23/25 D,65 Denier,39,53,195,25,571,490,2632,2970,6092,21322,14925,8224,Standard Mid-Weight Saree
SKU-0048,Bishnupur,East Handloom Ikat,2400 Hooks,5G Gold Zari,19/21 D,23/25 D,70 Denier,39,53,1144,25,571,490,15444,2970,18904,66164,46314,25520,Standard Mid-Weight Saree
SKU-0049,Bishnupur,East Handloom Ikat,2688 Hooks,2G Gold Zari,20/22 D,24/26 D,65 Denier,41,56,394,31,725,490,5319,2781,8590,30065,21045,11596,Heavy Bridal Brocade
SKU-0050,Bishnupur,East Handloom Ikat,2688 Hooks,3G Gold Zari,20/22 D,24/26 D,70 Denier,41,56,257,31,725,490,3469,2781,6740,23590,16513,9099,Heavy Bridal Brocade
SKU-0051,Bishnupur,East Handloom Ikat,2688 Hooks,5G Gold Zari,20/22 D,24/26 D,40 Denier,41,56,1506,31,725,490,20331,2781,23602,82607,57824,31862,Heavy Bridal Brocade
SKU-0052,Bishnupur,East Handloom Ikat,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,490,12109,2997,15596,54586,38210,21054,Ultra-Heavy Royal Heritage Pattu
SKU-0053,Bishnupur,East Handloom Ikat,5400 Hooks,3G Gold Zari,22/24 D,28/30 D,40 Denier,45,64,385,45,1051,490,5197,2997,8684,30394,21275,11723,Ultra-Heavy Royal Heritage Pattu
SKU-0054,Bishnupur,East Handloom Ikat,5400 Hooks,5G Gold Zari,22/24 D,28/30 D,45 Denier,45,64,2260,45,1051,490,30510,2997,33997,118989,83292,45895,Ultra-Heavy Royal Heritage Pattu
SKU-0055,Bishnupur,East Handloom Ikat,640 Hooks,1Gram Gold Zari,16/18 D,20/22 D,40 Denier,33,47,120,9,209,490,1620,2808,4918,17213,12049,6639,Lightweight Dress Silk
SKU-0056,Bishnupur,East Handloom Ikat,640 Hooks,2G Gold Zari,16/18 D,20/22 D,45 Denier,33,47,79,9,209,490,1066,2808,4364,15274,10691,5891,Lightweight Dress Silk
SKU-0057,Chanderi,Central Sheer Fabric,1024 Hooks,1Gram Gold Zari,17/19 D,21/23 D,45 Denier,35,49,220,14,318,520,3300,3300,7120,24920,17444,9612,Lightweight Dress Silk
SKU-0058,Chanderi,Central Sheer Fabric,1024 Hooks,3G Gold Zari,17/19 D,21/23 D,55 Denier,35,49,94,14,318,520,1410,3300,5230,18305,12813,7060,Lightweight Dress Silk
SKU-0059,Chanderi,Central Sheer Fabric,1024 Hooks,5G Gold Zari,17/19 D,21/23 D,60 Denier,35,49,554,14,318,520,8310,3300,12130,42455,29718,16375,Lightweight Dress Silk
SKU-0060,Chanderi,Central Sheer Fabric,1534 Hooks,2G Gold Zari,18/20 D,22/24 D,55 Denier,37,51,228,20,454,520,3420,3420,7360,25760,18032,9936,Standard Mid-Weight Saree
SKU-0061,Chanderi,Central Sheer Fabric,1534 Hooks,3G Gold Zari,18/20 D,22/24 D,60 Denier,37,51,148,20,454,520,2220,3420,6160,21560,15092,8316,Standard Mid-Weight Saree
SKU-0062,Chanderi,Central Sheer Fabric,1534 Hooks,5G Gold Zari,18/20 D,22/24 D,65 Denier,37,51,871,20,454,520,13065,3420,17005,59517,41662,22956,Standard Mid-Weight Saree
SKU-0063,Chanderi,Central Sheer Fabric,2400 Hooks,1Gram Gold Zari,19/21 D,23/25 D,55 Denier,39,53,454,25,571,520,6810,3090,10420,36470,25529,14067,Standard Mid-Weight Saree
SKU-0064,Chanderi,Central Sheer Fabric,2400 Hooks,2G Gold Zari,19/21 D,23/25 D,60 Denier,39,53,299,25,571,520,4485,3090,8095,28332,19832,10928,Standard Mid-Weight Saree
SKU-0065,Chanderi,Central Sheer Fabric,2400 Hooks,5G Gold Zari,19/21 D,23/25 D,70 Denier,39,53,1144,25,571,520,17160,3090,20770,72695,50886,28039,Standard Mid-Weight Saree
SKU-0066,Chanderi,Central Sheer Fabric,2688 Hooks,2G Gold Zari,20/22 D,24/26 D,65 Denier,41,56,394,31,725,520,5910,3389,9819,34366,24056,13255,Heavy Bridal Brocade
SKU-0067,Chanderi,Central Sheer Fabric,2688 Hooks,3G Gold Zari,20/22 D,24/26 D,70 Denier,41,56,257,31,725,520,3855,3389,7764,27174,19021,10481,Heavy Bridal Brocade
SKU-0068,Chanderi,Central Sheer Fabric,2688 Hooks,5G Gold Zari,20/22 D,24/26 D,40 Denier,41,56,1506,31,725,520,22590,3389,26499,92746,64922,35773,Heavy Bridal Brocade
SKU-0069,Chanderi,Central Sheer Fabric,5400 Hooks,2G Gold Zari,22/24 D,28/30 D,70 Denier,45,64,592,45,1051,520,8880,3540,12940,45290,31703,17469,Ultra-Heavy Royal Heritage Pattu
SKU-0070,Chanderi,Central Sheer Fabric,5400 Hooks,3G Gold Zari,22/24 D,28/30 D,40 Denier,45,64,385,45,1051,520,5775,3540,9835,34422,24095,13277,Ultra-Heavy Royal Heritage Pattu
SKU-0071,Chanderi,Central Sheer Fabric,640 Hooks,2G Gold Zari,16/18 D,20/22 D,45 Denier,33,47,79,9,209,520,1185,3030,4735,16572,11600,6392,Lightweight Dress Silk
SKU-0072,Chanderi,North Silk-Cotton Mix,1024 Hooks,1Gram Gold Zari,17/19 D,21/23 D,45 Denier,35,49,220,14,318,535,3300,3000,6835,23922,16745,9227,Lightweight Dress Silk
SKU-0073,Chanderi,North Silk-Cotton Mix,1024 Hooks,3G Gold Zari,17/19 D,21/23 D,55 Denier,35,49,94,14,318,535,1410,3000,4945,17307,12115,6675,Lightweight Dress Silk
SKU-0074,Chanderi,North Silk-Cotton Mix,1024 Hooks,5G Gold Zari,17/19 D,21/23 D,60 Denier,35,49,554,14,318,535,8310,3000,11845,41457,29020,15990,Lightweight Dress Silk
SKU-0075,Chanderi,North Silk-Cotton Mix,1534 Hooks,2G Gold Zari,18/20 D,22/24 D,55 Denier,37,51,228,20,454,535,3420,3360,7315,25602,17921,9875,Standard Mid-Weight Saree
SKU-0076,Chanderi,North Silk-Cotton Mix,1534 Hooks,3G Gold Zari,18/20 D,22/24 D,60 Denier,37,51,148,20,454,535,2220,3360,6115,21402,14981,8255,Standard Mid-Weight Saree
SKU-0077,Chanderi,North Silk-Cotton Mix,1534 Hooks,5G Gold Zari,18/20 D,22/24 D,65 Denier,37,51,871,20,454,535,13065,3360,16960,59360,41552,22896,Standard Mid-Weight Saree
SKU-0078,Chanderi,North Silk-Cotton Mix,2400 Hooks,2G Gold Zari,19/21 D,23/25 D,60 Denier,39,53,299,25,571,535,4485,3150,8170,28595,20016,11029,Standard Mid-Weight Saree
SKU-0079,Chanderi,North Silk-Cotton Mix,2400 Hooks,3G Gold Zari,19/21 D,23/25 D,65 Denier,39,53,195,25,571,535,2925,3150,6610,23135,16194,8923,Standard Mid-Weight Saree
SKU-0080,Chanderi,North Silk-Cotton Mix,2688 Hooks,5G Gold Zari,20/22 D,24/26 D,40 Denier,41,56,1506,31,725,535,22590,3030,26155,91542,64079,35309,Heavy Bridal Brocade
SKU-0081,Chanderi,North Silk-Cotton Mix,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,535,13455,3540,17530,61355,42948,23665,Ultra-Heavy Royal Heritage Pattu
SKU-0082,Chanderi,North Silk-Cotton Mix,5400 Hooks,5G Gold Zari,22/24 D,28/30 D,45 Denier,45,64,2260,45,1051,535,33900,3540,37975,132912,93038,51266,Ultra-Heavy Royal Heritage Pattu
SKU-0083,Chanderi,North Silk-Cotton Mix,640 Hooks,2G Gold Zari,16/18 D,20/22 D,45 Denier,33,47,79,9,209,535,1185,3210,4930,17255,12078,6655,Lightweight Dress Silk
SKU-0084,Dharmavaram,Deccan Zari Bordered,1024 Hooks,1Gram Gold Zari,17/19 D,21/23 D,45 Denier,35,49,220,14,318,489,3135,2964,6588,23058,16140,8893,Lightweight Dress Silk
SKU-0085,Dharmavaram,Deccan Zari Bordered,1024 Hooks,2G Gold Zari,17/19 D,21/23 D,50 Denier,35,49,145,14,318,489,2066,2964,5519,19316,13521,7450,Lightweight Dress Silk
SKU-0086,Dharmavaram,Deccan Zari Bordered,1024 Hooks,3G Gold Zari,17/19 D,21/23 D,55 Denier,35,49,94,14,318,489,1339,2964,4792,16772,11740,6469,Lightweight Dress Silk
SKU-0087,Dharmavaram,Deccan Zari Bordered,1534 Hooks,1Gram Gold Zari,18/20 D,22/24 D,50 Denier,37,51,346,20,454,489,4930,3249,8668,30338,21236,11701,Standard Mid-Weight Saree
SKU-0088,Dharmavaram,Deccan Zari Bordered,1534 Hooks,2G Gold Zari,18/20 D,22/24 D,55 Denier,37,51,228,20,454,489,3249,3249,6987,24454,17118,9432,Standard Mid-Weight Saree
SKU-0089,Dharmavaram,Deccan Zari Bordered,1534 Hooks,3G Gold Zari,18/20 D,22/24 D,60 Denier,37,51,148,20,454,489,2109,3249,5847,20464,14325,7893,Standard Mid-Weight Saree
SKU-0090,Dharmavaram,Deccan Zari Bordered,1534 Hooks,5G Gold Zari,18/20 D,22/24 D,65 Denier,37,51,871,20,454,489,12411,3249,16149,56521,39565,21801,Standard Mid-Weight Saree
SKU-0091,Dharmavaram,Deccan Zari Bordered,2400 Hooks,1Gram Gold Zari,19/21 D,23/25 D,55 Denier,39,53,454,25,571,489,6469,2935,9893,34625,24237,13355,Standard Mid-Weight Saree
SKU-0092,Dharmavaram,Deccan Zari Bordered,2400 Hooks,2G Gold Zari,19/21 D,23/25 D,60 Denier,39,53,299,25,571,489,4260,2935,7684,26894,18825,10373,Standard Mid-Weight Saree
SKU-0093,Dharmavaram,Deccan Zari Bordered,2400 Hooks,5G Gold Zari,19/21 D,23/25 D,70 Denier,39,53,1144,25,571,489,16302,2935,19726,69041,48328,26630,Standard Mid-Weight Saree
SKU-0094,Dharmavaram,Deccan Zari Bordered,2688 Hooks,1Gram Gold Zari,20/22 D,24/26 D,60 Denier,41,56,598,31,725,489,8521,3363,12373,43305,30313,16703,Heavy Bridal Brocade
SKU-0095,Dharmavaram,Deccan Zari Bordered,2688 Hooks,2G Gold Zari,20/22 D,24/26 D,65 Denier,41,56,394,31,725,489,5614,3363,9466,33131,23191,12779,Heavy Bridal Brocade
SKU-0096,Dharmavaram,Deccan Zari Bordered,2688 Hooks,3G Gold Zari,20/22 D,24/26 D,70 Denier,41,56,257,31,725,489,3662,3363,7514,26299,18409,10143,Heavy Bridal Brocade
SKU-0097,Dharmavaram,Deccan Zari Bordered,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,489,12782,3078,16349,57221,40055,22071,Ultra-Heavy Royal Heritage Pattu
SKU-0098,Dharmavaram,Deccan Zari Bordered,5400 Hooks,5G Gold Zari,22/24 D,28/30 D,45 Denier,45,64,2260,45,1051,489,32205,3078,35772,125202,87641,48292,Ultra-Heavy Royal Heritage Pattu
SKU-0099,Dharmavaram,Deccan Zari Bordered,640 Hooks,5G Gold Zari,16/18 D,20/22 D,55 Denier,33,47,302,9,209,489,4303,2878,7670,26845,18791,10354,Lightweight Dress Silk
SKU-0100,Dharmavaram,North Indian Katan,1024 Hooks,1Gram Gold Zari,17/19 D,21/23 D,45 Denier,35,49,220,14,318,475,3135,3078,6688,23408,16385,9028,Lightweight Dress Silk
SKU-0101,Dharmavaram,North Indian Katan,1024 Hooks,2G Gold Zari,17/19 D,21/23 D,50 Denier,35,49,145,14,318,475,2066,3078,5619,19666,13766,7585,Lightweight Dress Silk
SKU-0102,Dharmavaram,North Indian Katan,1024 Hooks,3G Gold Zari,17/19 D,21/23 D,55 Denier,35,49,94,14,318,475,1339,3078,4892,17122,11985,6604,Lightweight Dress Silk
SKU-0103,Dharmavaram,North Indian Katan,1024 Hooks,5G Gold Zari,17/19 D,21/23 D,60 Denier,35,49,554,14,318,475,7894,3078,11447,40064,28045,15453,Lightweight Dress Silk
SKU-0104,Dharmavaram,North Indian Katan,1534 Hooks,1Gram Gold Zari,18/20 D,22/24 D,50 Denier,37,51,346,20,454,475,4930,2878,8283,28990,20293,11182,Standard Mid-Weight Saree
SKU-0105,Dharmavaram,North Indian Katan,1534 Hooks,5G Gold Zari,18/20 D,22/24 D,65 Denier,37,51,871,20,454,475,12411,2878,15764,55174,38621,21281,Standard Mid-Weight Saree
SKU-0106,Dharmavaram,North Indian Katan,2400 Hooks,2G Gold Zari,19/21 D,23/25 D,60 Denier,39,53,299,25,571,475,4260,3391,8126,28441,19908,10970,Standard Mid-Weight Saree
SKU-0107,Dharmavaram,North Indian Katan,2688 Hooks,1Gram Gold Zari,20/22 D,24/26 D,60 Denier,41,56,598,31,725,475,8521,3021,12017,42059,29441,16222,Heavy Bridal Brocade
SKU-0108,Dharmavaram,North Indian Katan,2688 Hooks,3G Gold Zari,20/22 D,24/26 D,70 Denier,41,56,257,31,725,475,3662,3021,7158,25053,17537,9663,Heavy Bridal Brocade
SKU-0109,Dharmavaram,North Indian Katan,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,475,12782,3249,16506,57771,40439,22283,Ultra-Heavy Royal Heritage Pattu
SKU-0110,Dharmavaram,North Indian Katan,640 Hooks,1Gram Gold Zari,16/18 D,20/22 D,40 Denier,33,47,120,9,209,475,1710,3305,5490,19215,13450,7411,Lightweight Dress Silk
SKU-0111,Dharmavaram,North Indian Katan,640 Hooks,5G Gold Zari,16/18 D,20/22 D,55 Denier,33,47,302,9,209,475,4303,3305,8083,28290,19803,10912,Lightweight Dress Silk
SKU-0112,Gadwal,Deccan Cotton-Silk,1024 Hooks,1Gram Gold Zari,17/19 D,21/23 D,45 Denier,35,49,220,14,318,486,2970,2862,6318,22113,15479,8529,Lightweight Dress Silk
SKU-0113,Gadwal,Deccan Cotton-Silk,1024 Hooks,2G Gold Zari,17/19 D,21/23 D,50 Denier,35,49,145,14,318,486,1957,2862,5305,18567,12997,7161,Lightweight Dress Silk
SKU-0114,Gadwal,Deccan Cotton-Silk,1024 Hooks,5G Gold Zari,17/19 D,21/23 D,60 Denier,35,49,554,14,318,486,7479,2862,10827,37894,26526,14616,Lightweight Dress Silk
SKU-0115,Gadwal,Deccan Cotton-Silk,1534 Hooks,3G Gold Zari,18/20 D,22/24 D,60 Denier,37,51,148,20,454,486,1998,3024,5508,19278,13494,7435,Standard Mid-Weight Saree
SKU-0116,Gadwal,Deccan Cotton-Silk,1534 Hooks,5G Gold Zari,18/20 D,22/24 D,65 Denier,37,51,871,20,454,486,11758,3024,15268,53438,37406,20611,Standard Mid-Weight Saree
SKU-0117,Gadwal,Deccan Cotton-Silk,2400 Hooks,5G Gold Zari,19/21 D,23/25 D,70 Denier,39,53,1144,25,571,486,15444,3159,19089,66811,46768,25770,Standard Mid-Weight Saree
SKU-0118,Gadwal,Deccan Cotton-Silk,2688 Hooks,1Gram Gold Zari,20/22 D,24/26 D,60 Denier,41,56,598,31,725,486,8073,3104,11663,40820,28574,15745,Heavy Bridal Brocade
SKU-0119,Gadwal,Deccan Cotton-Silk,2688 Hooks,3G Gold Zari,20/22 D,24/26 D,70 Denier,41,56,257,31,725,486,3469,3104,7059,24706,17294,9529,Heavy Bridal Brocade
SKU-0120,Gadwal,Deccan Cotton-Silk,2688 Hooks,5G Gold Zari,20/22 D,24/26 D,40 Denier,41,56,1506,31,725,486,20331,3104,23921,83723,58606,32293,Heavy Bridal Brocade
SKU-0121,Gadwal,Deccan Cotton-Silk,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,486,12109,3159,15754,55139,38597,21267,Ultra-Heavy Royal Heritage Pattu
SKU-0122,Gadwal,Deccan Cotton-Silk,640 Hooks,1Gram Gold Zari,16/18 D,20/22 D,40 Denier,33,47,120,9,209,486,1620,3050,5156,18046,12632,6960,Lightweight Dress Silk
SKU-0123,Gadwal,Deccan Cotton-Silk,640 Hooks,2G Gold Zari,16/18 D,20/22 D,45 Denier,33,47,79,9,209,486,1066,3050,4602,16107,11274,6212,Lightweight Dress Silk
SKU-0124,Gadwal,Deccan Cotton-Silk,640 Hooks,3G Gold Zari,16/18 D,20/22 D,50 Denier,33,47,51,9,209,486,688,3050,4224,14784,10348,5702,Lightweight Dress Silk
SKU-0125,Gadwal,South Tied-Dye Ikat,1024 Hooks,1Gram Gold Zari,17/19 D,21/23 D,45 Denier,35,49,220,14,318,481,2970,2808,6259,21906,15334,8449,Lightweight Dress Silk
SKU-0126,Gadwal,South Tied-Dye Ikat,1024 Hooks,2G Gold Zari,17/19 D,21/23 D,50 Denier,35,49,145,14,318,481,1957,2808,5246,18361,12852,7082,Lightweight Dress Silk
SKU-0127,Gadwal,South Tied-Dye Ikat,1024 Hooks,5G Gold Zari,17/19 D,21/23 D,60 Denier,35,49,554,14,318,481,7479,2808,10768,37688,26381,14536,Lightweight Dress Silk
SKU-0128,Gadwal,South Tied-Dye Ikat,1534 Hooks,1Gram Gold Zari,18/20 D,22/24 D,50 Denier,37,51,346,20,454,481,4671,2781,7933,27765,19435,10709,Standard Mid-Weight Saree
SKU-0129,Gadwal,South Tied-Dye Ikat,1534 Hooks,3G Gold Zari,18/20 D,22/24 D,60 Denier,37,51,148,20,454,481,1998,2781,5260,18410,12887,7101,Standard Mid-Weight Saree
SKU-0130,Gadwal,South Tied-Dye Ikat,1534 Hooks,5G Gold Zari,18/20 D,22/24 D,65 Denier,37,51,871,20,454,481,11758,2781,15020,52570,36799,20277,Standard Mid-Weight Saree
